MagicBelt_1600x1200
{
	// Belt

	"0"		"46 45 0 0"
	"1"		"152 45 0 0"
	"2"		"258 45 0 0"
	"3"		"364 45 0 0"
	"4"		"470 45 0 0"
	"5"		"576 45 0 0"
	"6"		"682 45 0 0"
	"7"		"788 45 0 0"
	"8"		"894 45 0 0"
	"9"		"1000 45 0 0"
	"10"		"1106 45 0 0"
	"11"		"1214 45 0 0"

	// Belt Position
	"16"		"0 0 0 0"
	// Spell Name
	"17"		"126 12 530 22"
	// select icon offset
	"18"		"-19 -16 0 0"

	// Belt keys names

	"20"		"73 132 30 20 "
	"21"		"179 132 30 20"
	"22"		"285 132 30 20"
	"23"		"391 132 30 20"
	"24"		"497 132 30 20"
	"25"		"603 132 30 20"
	"26"		"709 132 30 20"
	"27"		"815 132 30 20"
	"28"		"921 132 30 20"
	"29"		"1027 132 30 20"
	"30"		"1133 132 30 20"
	"31"		"1241 132 30 20"

}

